Date,Stock_Price
2024-01-01,120
2024-01-02,114
2024-01-03,127
2024-01-04,120
2024-01-05,124
2024-01-06,118
2024-01-07,122
2024-01-08,118
2024-01-09,115
2024-01-10,119
2024-01-11,123
2024-01-12,120
2024-01-13,124
2024-01-14,120
2024-01-15,117
2024-01-16,113
2024-01-17,117
2024-01-18,121
2024-01-19,124
2024-01-20,120
2024-01-21,123
2024-01-22,119
2024-01-23,115
2024-01-24,118
2024-01-25,122
2024-01-26,118
2024-01-27,114
2024-01-28,118
2024-01-29,121
2024-01-30,117
2024-01-31,114
2024-02-01,110
2024-02-02,113
2024-02-03,116
2024-02-04,112
2024-02-05,109
2024-02-06,113
2024-02-07,116
2024-02-08,112
2024-02-09,108
2024-02-10,105
2024-02-11,108
2024-02-12,104
2024-02-13,100
2024-02-14,103
2024-02-15,106
