Date,Stock_Price
2024-01-01,80
2024-01-02,83
2024-01-03,86
2024-01-04,84
2024-01-05,81
2024-01-06,79
2024-01-07,82
2024-01-08,85
2024-01-09,87
2024-01-10,89
2024-01-11,92
2024-01-12,94
2024-01-13,91
2024-01-14,89
2024-01-15,86
2024-01-16,84
2024-01-17,87
2024-01-18,85
2024-01-19,82
2024-01-20,79
2024-01-21,77
2024-01-22,80
2024-01-23,78
2024-01-24,75
2024-01-25,72
2024-01-26,70
2024-01-27,68
2024-01-28,71
2024-01-29,73
2024-01-30,70
2024-01-31,72
2024-02-01,75
2024-02-02,77
2024-02-03,79
2024-02-04,76
2024-02-05,74
2024-02-06,76
2024-02-07,79
2024-02-08,82
2024-02-09,84
2024-02-10,87
2024-02-11,85
2024-02-12,82
2024-02-13,80
2024-02-14,78
2024-02-15,81
