Date,Stock_Price
2024-01-01,150
2024-01-02,156
2024-01-03,161
2024-01-04,155
2024-01-05,150
2024-01-06,152
2024-01-07,148
2024-01-08,151
2024-01-09,153
2024-01-10,156
2024-01-11,160
2024-01-12,163
2024-01-13,160
2024-01-14,158
2024-01-15,155
2024-01-16,151
2024-01-17,153
2024-01-18,156
2024-01-19,160
2024-01-20,163
2024-01-21,166
2024-01-22,163
2024-01-23,160
2024-01-24,157
2024-01-25,155
2024-01-26,158
2024-01-27,160
2024-01-28,163
2024-01-29,166
2024-01-30,162
2024-01-31,159
2024-02-01,156
2024-02-02,153
2024-02-03,151
2024-02-04,154
2024-02-05,150
2024-02-06,146
2024-02-07,143
2024-02-08,140
2024-02-09,143
2024-02-10,146
2024-02-11,149
2024-02-12,152
2024-02-13,155
2024-02-14,158
2024-02-15,161
