Date,Stock_Price
2024-01-01,100
2024-01-02,98
2024-01-03,101
2024-01-04,97
2024-01-05,95
2024-01-06,92
2024-01-07,89
2024-01-08,92
2024-01-09,91
2024-01-10,88
2024-01-11,85
2024-01-12,82
2024-01-13,78
2024-01-14,75
2024-01-15,73
2024-01-16,76
2024-01-17,72
2024-01-18,70
2024-01-19,68
2024-01-20,65
2024-01-21,62
2024-01-22,59
2024-01-23,57
2024-01-24,55
2024-01-25,52
2024-01-26,49
2024-01-27,46
2024-01-28,43
2024-01-29,40
2024-01-30,38
2024-01-31,35
2024-02-01,38
2024-02-02,40
2024-02-03,42
2024-02-04,39
2024-02-05,37
2024-02-06,34
2024-02-07,31
2024-02-08,29
2024-02-09,26
2024-02-10,24
2024-02-11,21
2024-02-12,18
2024-02-13,15
2024-02-14,12
2024-02-15,9
